"timestamp","run_id","symbol","sid","event","confidence","rr","reason"
"2026-03-09 14:36:50",,,,"boot",,,
"2026-03-09 14:36:54",,,,"heartbeat",,,
"2026-03-09 14:36:54",,,,"regime_fail",,,
"2026-03-09 14:36:54",,,,"regime","0",,"regime_fail"
"2026-03-09 14:36:54",,,,"core_context_fail",,,
"2026-03-09 14:36:54",,,,"core_context",,,"core_context_fail"
"2026-03-09 14:36:54",,,,"alpha_mode_fail",,,
"2026-03-09 14:36:54",,,,"alpha_mode",,,"alpha_mode_fail"
"2026-03-09 14:36:54",,,,"strategy_result",,,"validation_runtime_active_v1"
"2026-03-09 14:36:54",,"SPY","A_VALIDATION_PIPELINE_V1","plan_created","0","2","validation_plan_live_snapshot_v1"
"2026-03-09 14:36:54",,"SPY","A_VALIDATION_PIPELINE_V1","shadow_written",,"2",
"2026-03-09 14:36:59",,,,"heartbeat",,,
"2026-03-09 14:36:59",,,,"regime_fail",,,
"2026-03-09 14:36:59",,,,"regime","0",,"regime_fail"
"2026-03-09 14:36:59",,,,"core_context_fail",,,
"2026-03-09 14:36:59",,,,"core_context",,,"core_context_fail"
"2026-03-09 14:36:59",,,,"alpha_mode_fail",,,
"2026-03-09 14:36:59",,,,"alpha_mode",,,"alpha_mode_fail"
"2026-03-09 14:36:59",,,,"strategy_result",,,"validation_runtime_active_v1"
"2026-03-09 14:36:59",,"SPY","A_VALIDATION_PIPELINE_V1","plan_created","0","2","validation_plan_live_snapshot_v1"
"2026-03-09 14:36:59",,"SPY","A_VALIDATION_PIPELINE_V1","shadow_written",,"2",
"2026-03-09 14:37:04",,,,"heartbeat",,,
"2026-03-09 14:37:04",,,,"regime_fail",,,
"2026-03-09 14:37:04",,,,"regime","0",,"regime_fail"
"2026-03-09 14:37:04",,,,"core_context_fail",,,
"2026-03-09 14:37:04",,,,"core_context",,,"core_context_fail"
"2026-03-09 14:37:04",,,,"alpha_mode_fail",,,
"2026-03-09 14:37:04",,,,"alpha_mode",,,"alpha_mode_fail"
"2026-03-09 14:37:04",,,,"strategy_result",,,"validation_runtime_active_v1"
"2026-03-09 14:37:04",,"SPY","A_VALIDATION_PIPELINE_V1","plan_created","0","2","validation_plan_live_snapshot_v1"
"2026-03-09 14:37:04",,"SPY","A_VALIDATION_PIPELINE_V1","shadow_written",,"2",
"2026-03-09 14:37:08",,,,"heartbeat",,,
"2026-03-09 14:37:08",,,,"regime_fail",,,
"2026-03-09 14:37:08",,,,"regime","0",,"regime_fail"
"2026-03-09 14:37:08",,,,"core_context_fail",,,
"2026-03-09 14:37:08",,,,"core_context",,,"core_context_fail"
"2026-03-09 14:37:08",,,,"alpha_mode_fail",,,
"2026-03-09 14:37:08",,,,"alpha_mode",,,"alpha_mode_fail"
"2026-03-09 14:37:08",,,,"strategy_result",,,"validation_runtime_active_v1"
"2026-03-09 14:37:08",,"SPY","A_VALIDATION_PIPELINE_V1","plan_created","0","2","validation_plan_live_snapshot_v1"
"2026-03-09 14:37:08",,"SPY","A_VALIDATION_PIPELINE_V1","shadow_written",,"2",
"2026-03-09 14:37:13",,,,"heartbeat",,,
"2026-03-09 14:37:13",,,,"regime_fail",,,
"2026-03-09 14:37:13",,,,"regime","0",,"regime_fail"
"2026-03-09 14:37:13",,,,"core_context_fail",,,
"2026-03-09 14:37:13",,,,"core_context",,,"core_context_fail"
"2026-03-09 14:37:13",,,,"alpha_mode_fail",,,
"2026-03-09 14:37:13",,,,"alpha_mode",,,"alpha_mode_fail"
"2026-03-09 14:37:13",,,,"strategy_result",,,"validation_runtime_active_v1"
"2026-03-09 14:37:13",,"SPY","A_VALIDATION_PIPELINE_V1","plan_created","0","2","validation_plan_live_snapshot_v1"
"2026-03-09 14:37:13",,"SPY","A_VALIDATION_PIPELINE_V1","shadow_written",,"2",
"2026-03-09 14:37:17",,,,"heartbeat",,,
"2026-03-09 14:37:17",,,,"regime_fail",,,
"2026-03-09 14:37:17",,,,"regime","0",,"regime_fail"
"2026-03-09 14:37:17",,,,"core_context_fail",,,
"2026-03-09 14:37:17",,,,"core_context",,,"core_context_fail"
"2026-03-09 14:37:17",,,,"alpha_mode_fail",,,
"2026-03-09 14:37:17",,,,"alpha_mode",,,"alpha_mode_fail"
"2026-03-09 14:37:17",,,,"strategy_result",,,"validation_runtime_active_v1"
"2026-03-09 14:37:17",,"SPY","A_VALIDATION_PIPELINE_V1","plan_created","0","2","validation_plan_live_snapshot_v1"
"2026-03-09 14:37:17",,"SPY","A_VALIDATION_PIPELINE_V1","shadow_written",,"2",
